PrimaryDI|sizeType|size (Unit)|size (Value)|sizeText
6c6a98d0-bfd5-463e-9b9d-d319cbcf2527|Device Size Text, specify|""|""|485 cc
ae4a1ec3-2d55-47d3-88bf-7f4469f54a8f|Device Size Text, specify|""|""|345 cc
d8eb7259-b578-4c1e-bad2-fc31afbd5a2a|Device Size Text, specify|""|""|275 cc
2fc83b9e-3a24-47cd-a3af-4ce2d71f2ab5|Device Size Text, specify|""|""|640 cc
ee3536f3-da61-4664-aa3e-0fe70099a00b|Device Size Text, specify|""|""|590 cc
dfff4ba1-59d6-4598-b3a4-755619e55df7|Device Size Text, specify|""|""|490 cc
124fbc7a-7370-444d-a609-e79e5a5e619b|Device Size Text, specify|""|""|400 cc
3f5fdb46-28b4-48b9-adfc-d7637e5f9726|Device Size Text, specify|""|""|360 cc
b7b8162c-5fa4-4b56-956a-1ed8063b9277|Device Size Text, specify|""|""|190 cc
0f987fac-a7a1-41c2-bb3f-4879474c6a7f|Device Size Text, specify|""|""|460 cc
354971de-8a19-40af-9d22-3cbc4fbd3eaf|Device Size Text, specify|""|""|380 cc
cfeadbef-c50b-4c5a-bf3d-8279754b06e3|Device Size Text, specify|""|""|320 cc
3e0c60a4-0d1f-40d9-8180-70aa298678c7|Device Size Text, specify|""|""|200 cc
6b6c3659-8b39-4127-ac63-1534179a3ba4|Device Size Text, specify|""|""|140 cc
e8fac398-fe68-493a-a6d5-5ad96fc85051|Device Size Text, specify|""|""|750 cc
f62af68f-725f-4792-9a69-b84914ad607c|Device Size Text, specify|""|""|615 cc
bbdafac1-fd09-4b80-87db-0659a5b61fa4|Device Size Text, specify|""|""|525 cc
dc1ce2d5-ba29-4f95-8331-64cb0a6e332e|Device Size Text, specify|""|""|340 cc
bc3d218e-094a-43df-ad90-b335ed19ee6a|Device Size Text, specify|""|""|745 cc
aac23652-3106-4bb8-8d23-e8c175ecb32f|Device Size Text, specify|""|""|650 cc
b875001c-adc6-4f02-a4d2-777605cf3374|Device Size Text, specify|""|""|605 cc
2d02c7aa-f423-4c2d-b14a-405ac8d13249|Device Size Text, specify|""|""|485 cc
c5bacfbe-ebc5-40d9-968f-6690c8013646|Device Size Text, specify|""|""|345 cc
395a216f-ad51-4780-a227-ae5cdeef1d7d|Device Size Text, specify|""|""|325 cc
1a5ece6f-6ebd-497b-af07-372c28725a77|Device Size Text, specify|""|""|220 cc
7ec85527-eb1b-44eb-ab9d-de652c907695|Device Size Text, specify|""|""|200 cc
526097c0-29dc-475d-8713-c662c7decf26|Device Size Text, specify|""|""|405 cc
efcfe47b-93b0-484a-9b46-f03ac624b0b8|Device Size Text, specify|""|""|240 cc
1c635542-95d0-4cdc-af07-f1966ab617c2|Device Size Text, specify|""|""|640 cc
b079ec53-bbe7-4448-8f7e-863a8a1b5884|Device Size Text, specify|""|""|280 cc
fb7b70e8-d58d-40fc-b9ad-4be7adcda4d6|Device Size Text, specify|""|""|205 cc
b7f7eefe-87ab-4a74-b232-918364aa4304|Device Size Text, specify|""|""|560 cc
f9aee0a0-d9b1-4d50-a4b8-3bb194e76683|Device Size Text, specify|""|""|320 cc
00955322-5f13-49c6-bf77-e6c7c57e61ef|Device Size Text, specify|""|""|290 cc
7bb84de6-a483-4a42-8014-4d6b73c55180|Device Size Text, specify|""|""|580 cc
efa29134-e758-4410-b98a-cbea60fd408c|Device Size Text, specify|""|""|420 cc
a06faf14-7faa-4567-8b64-64a08f685dd8|Device Size Text, specify|""|""|200 cc
6709925f-f1b3-4754-86fb-191eda37910d|Device Size Text, specify|""|""|560 cc
713f85c1-5522-40d2-bba7-e4e239f48cb4|Device Size Text, specify|""|""|520 cc
63508241-a75f-4760-8b41-7b1aa02da883|Device Size Text, specify|""|""|485 cc
aae6814f-732b-4cf5-903b-2405fa385f33|Device Size Text, specify|""|""|755 cc
8a5bdcc2-6616-4852-b572-5147de74716f|Device Size Text, specify|""|""|640 cc
cb7a2dcc-2f02-4cd2-9f03-1e7a10166783|Device Size Text, specify|""|""|330 cc
0ce49298-95f3-4e50-b911-153c7468acc8|Device Size Text, specify|""|""|310 cc
07cd079b-eada-40a5-ba5f-522768a239e1|Device Size Text, specify|""|""|295 cc
f724cfc8-add4-4bf9-b3d8-65f97abb4837|Device Size Text, specify|""|""|540 cc
ed769590-dbb3-4243-9b92-dc0bc51ecbe2|Device Size Text, specify|""|""|490 cc
f5b15944-cbfd-43d3-bc09-0d34f380564b|Device Size Text, specify|""|""|400 cc
208dee81-38d8-4c6a-a929-fdd3163bde79|Device Size Text, specify|""|""|360 cc
05aa0ff7-0f25-4c2e-a858-bd9d0708f29b|Device Size Text, specify|""|""|280 cc
6a0de22e-e0cf-4e11-a7b3-f1a1b6038c2b|Device Size Text, specify|""|""|265 cc
4b46aac4-309a-482f-b6f9-c89b37c8f363|Device Size Text, specify|""|""|205 cc
759d7092-fe8f-44d8-b8fc-587f2b98473e|Device Size Text, specify|""|""|560 cc
32cb7724-b786-4f90-8d6d-f749ebd3ece7|Device Size Text, specify|""|""|320 cc
2a2a79d3-5830-45de-960b-db2b30de5fdf|Device Size Text, specify|""|""|800 cc
9e6d39a6-c80f-410e-920c-cd7a39dd93e3|Device Size Text, specify|""|""|545 cc
fe82c54c-c98b-4a85-ba37-4b2163d5975b|Device Size Text, specify|""|""|420 cc
754835b4-f4eb-4ff1-9c9d-af06d211315b|Device Size Text, specify|""|""|310 cc
4d3a1515-13e6-4982-896d-e9575ea1779e|Device Size Text, specify|""|""|745 cc
