reference,nominal fill volume,max fill volume,nominal diameter,nominal projection,max diameter,max projection,width,height
SRLP-250,250,,12,3.1,,,,
SRLP-265,265,,12.25,3.2,,,,
SRLP-280,280,,12.5,3.3,,,,
SRLP-300,300,,12.75,3.3,,,,
SRLP-320,320,,13,3.4,,,,
SRLP-340,340,,13.25,3.5,,,,
SRLP-360,360,,13.5,3.5,,,,
SRLP-400,400,,14,3.6,,,,
SRLP-440,440,,14.5,3.8,,,,
SRLP-490,490,,15,3.9,,,,
SRLP-540,540,,15.5,4,,,,
SRLP-590,590,,16,4.2,,,,
SRLP-640,640,,16.5,4.3,,,,
SCL-110,110,,10,2,,,,
SCL-125,125,,10.25,2,,,,
SCL-140,140,,10.5,2.1,,,,
SCL-170,170,,11,2.2,,,,
SCL-200,200,,11.5,2.3,,,,
SCL-230,230,,12,2.4,,,,
SCL-260,260,,12.5,2.5,,,,
SCL-290,290,,13,2.6,,,,
SCL-320,320,,13.5,2.7,,,,
SCL-350,350,,14,2.8,,,,
SCL-380,380,,14.5,2.9,,,,
SCL-410,410,,15,3,,,,
SCL-460,460,,15.5,3.1,,,,
SCL-510,510,,16,3.2,,,,
SCL-560,560,,16.5,3.3,,,,
SCL-610,610,,17,3.4,,,,
SSL-110,110,,10,2,,,,
SSL-125,125,,10.25,2,,,,
SSL-140,140,,10.5,2.1,,,,
SSL-170,170,,11,2.2,,,,
SSL-200,200,,11.5,2.3,,,,
SSL-230,230,,12,2.4,,,,
SSL-260,260,,12.5,2.5,,,,
SSL-290,290,,13,2.6,,,,
SSL-320,320,,13.5,2.7,,,,
SSL-350,350,,14,2.8,,,,
SSL-380,380,,14.5,2.9,,,,
SSL-410,410,,15,3,,,,
SSL-460,460,,15.5,3.1,,,,
SSL-510,510,,16,3.2,,,,
SSL-560,560,,16.5,3.3,,,,
SSL-610,610,,17,3.4,,,,
SRL-110,110,,10,2,,,,
SRL-125,125,,10.25,2,,,,
SRL-140,140,,10.5,2.1,,,,
SRL-170,170,,11,2.2,,,,
SRL-200,200,,11.5,2.3,,,,
SRL-230,230,,12,2.4,,,,
SRL-260,260,,12.5,2.5,,,,
SRL-290,290,,13,2.6,,,,
SRL-320,320,,13.5,2.7,,,,
SRL-350,350,,14,2.8,,,,
SRL-380,380,,14.5,2.9,,,,
SRL-410,410,,15,3,,,,
SRL-460,460,,15.5,3.1,,,,
SRL-510,510,,16,3.2,,,,
SRL-560,560,,16.5,3.3,,,,
SRL-610,610,,17,3.4,,,,
TCM-140,140,,9.5,3,,,,
TCM-175,175,,10,3.3,,,,
TCM-195,195,,10.25,3.4,,,,
TCM-210,210,,10.5,3.5,,,,
TCM-240,240,,11,3.7,,,,
TCM-255,255,,11.25,3.8,,,,
TCM-275,275,,11.5,3.9,,,,
TCM-295,295,,11.75,3.9,,,,
TCM-310,310,,12,4,,,,
TCM-330,330,,12.25,4.1,,,,
TCM-345,345,,12.5,4.2,,,,
TCM-360,360,,12.75,4.2,,,,
TCM-375,375,,13,4.3,,,,
