reference,nominal fill volume,max fill volume,nominal diameter,nominal projection,max diameter,max projection,width,height
354-2910,175,200,,4.3,,,11.2,9.4
354-2911,225,250,,4.5,,,12.2,10.3
354-2912,275,300,,4.5,,,13.1,11
354-2913,350,400,,4.7,,,13.8,11.6
354-2914,425,475,,5.2,,,14.9,12.5
354-2915,525,575,,5.6,,,11.5,9.5
354-2711,275,300,,5.1,,,12.3,10.5
354-2712,350,400,,5.3,,,13.2,11
354-2713,450,500,,6.1,,,14,11.9
354-2714,550,600,,6.4,,,15,12.7
354-2715,650,725,,6.6,9.3,3.2,,
350-1410,125,150,9.4,2.7,10.2,3.8,,
350-1420,175,210,10.3,3.1,10.9,4.3,,
350-1430,225,270,10.8,3.5,11.5,4.6,,
350-1440,275,330,11.6,3.8,12.1,4.9,,
350-1450,325,390,12.4,4,13,4.9,,
350-1460,375,450,13.5,4.1,13.7,4.8,,
350-1470,425,510,14,4.2,13.8,5.4,,
350-1480,475,570,14.3,4.4,14.4,5.6,,
350-1485,525,630,15,4.4,14.2,6,,
350-1490,575,690,14.7,4.8,9.2,3.5,,
354-2410M,125,150,9.4,3,10.4,3.9,,
354-2420M,175,210,10.5,3.1,11.1,4.2,,
354-2430M,225,270,11.3,3.3,11.4,4.4,,
354-2440M,275,330,12,3.6,12.6,4.5,,
354-2450M,325,390,12.9,3.7,13.1,4.8,,
354-2460M,375,450,13.4,3.9,13.6,5,,
354-2470M,425,510,14,4.2,14.2,5.7,,
354-2480M,475,570,14.5,4.5,,6.3,11.1,9.4
354-2511,275,330,,5.1,,6.9,11.9,10.1
354-2512,350,420,,5.3,,7.5,12.7,11
354-2513,450,540,,6.1,,7.9,13.7,11.9
354-2514,550,660,,6.4,,8.2,14.5,12.5
354-2515,650,780,,6.6,,,,
350-7130MC,130,,9.6,2.4,,,,
350-7150MC,150,,10.3,2.5,,,,
350-7170MC,170,,10.5,2.6,,,,
350-7190MC,190,,11,2.7,,,,
350-7215MC,215,,11.6,2.8,,,,
350-7235MC,235,,11.8,2.9,,,,
350-7255MC,255,,12.2,2.9,,,,
350-7275MC,275,,12.5,3,,,,
350-7300MC,300,,12.8,3.1,,,,
350-7320MC,320,,13,3.2,,,,
350-7340MC,340,,13.4,3.2,,,,
350-7360MC,360,,13.6,3.3,,,,
350-7385MC,385,,13.9,3.3,,,,
350-7405MC,405,,14.2,3.4,,,,
